iso_ref,gene_ref,isoform_id,gene_id,condition_1,condition_2,gene_name,gene_biotype,iso_biotype,gene_overall_mean,gene_value_1,gene_value_2,gene_stderr_1,gene_stderr_2,gene_log2_fold_change,gene_q_value,iso_overall_mean,iso_value_1,iso_value_2,iso_stderr_1,iso_stderr_2,iso_log2_fold_change,iso_q_value,IF_overall,IF1,IF2,dIF,isoform_switch_q_value,gene_switch_q_value,PTC,IR,switchConsequencesGene
isoComp_00000943,geneComp_00000412,ENSMUST00000050125,2900026A02Rik,KO4,WT,2900026A02Rik,protein_coding,protein_coding,2.3176168183860626,1.4896152876975428,3.145618349074582,0.04339328569371151,0.22487629326865344,1.0733302933469488,NA,0.5960157481881011,0.1571857855867711,1.034845710789431,0.1571857855867711,0.024426182001729885,2.643765822197913,NA,0.22266666666666668,0.11203333333333333,0.3333,0.22126666666666667,0.07894992356665212,5.931499187052133e-5,FALSE,0,TRUE
isoComp_00000944,geneComp_00000412,ENSMUST00000211733,2900026A02Rik,KO4,WT,2900026A02Rik,protein_coding,protein_coding,2.3176168183860626,1.4896152876975428,3.145618349074582,0.04339328569371151,0.22487629326865344,1.0733302933469488,NA,0.9634301988950883,0.8984145134953884,1.0284458842947883,0.035893038056226165,0.061835261758918715,0.19300337522730218,NA,0.46803333333333336,0.6049333333333333,0.33113333333333334,-0.2738,5.931499187052133e-5,5.931499187052133e-5,FALSE,0,TRUE
isoComp_00000945,geneComp_00000412,ENSMUST00000212276,2900026A02Rik,KO4,WT,2900026A02Rik,protein_coding,protein_coding,2.3176168183860626,1.4896152876975428,3.145618349074582,0.04339328569371151,0.22487629326865344,1.0733302933469488,NA,0.758170871302873,0.43401498861538323,1.0823267539903627,0.219923431566299,0.27436978022234926,1.2987241989203473,NA,0.3093,0.28303333333333336,0.3355666666666667,0.05253333333333332,0.7438870395851807,5.931499187052133e-5,FALSE,0,TRUE
isoComp_00003552,geneComp_00001578,ENSMUST00000087623,Adamts10,KO4,WT,Adamts10,protein_coding,protein_coding,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,1.6459710864288155,0.7335917217650034,2.5583504510926276,0.11943406347938262,0.31777685701398256,1.7882594571783073,NA,0.18791666666666668,0.15176666666666666,0.22406666666666666,0.0723,0.12236280313061079,0.0024163659997593757,FALSE,NA,NA
isoComp_00003553,geneComp_00001578,ENSMUST00000172922,Adamts10,KO4,WT,Adamts10,protein_coding,nonsense_mediated_decay,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,0.14862977300006822,0.17995591323013405,0.11730363277000237,0.17995591323013405,0.09842323868951798,-0.5773910341060602,NA,0.022583333333333334,0.034999999999999996,0.010166666666666666,-0.024833333333333332,0.9369237096785099,0.0024163659997593757,TRUE,NA,NA
isoComp_00003554,geneComp_00001578,ENSMUST00000173013,Adamts10,KO4,WT,Adamts10,protein_coding,nonsense_mediated_decay,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,0.3086695766929999,0,0.6173391533859998,0,0.35750707034086565,5.971173701586815,NA,0.026733333333333335,0,0.05346666666666667,0.05346666666666667,0.08778564800506869,0.0024163659997593757,TRUE,NA,NA
isoComp_00003555,geneComp_00001578,ENSMUST00000173030,Adamts10,KO4,WT,Adamts10,protein_coding,nonsense_mediated_decay,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,0.34456943912504034,0.34588591729072155,0.3432529609593591,0.34588591729072155,0.20240860952660372,-0.010713192052660976,NA,0.055349999999999996,0.08026666666666667,0.030433333333333333,-0.049833333333333334,0.6326589184233795,0.0024163659997593757,TRUE,NA,NA
isoComp_00003556,geneComp_00001578,ENSMUST00000173241,Adamts10,KO4,WT,Adamts10,protein_coding,nonsense_mediated_decay,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,0.13696071061161694,0.2739214212232339,0,0.19902471237412042,0,-4.827419796104196,NA,0.031033333333333336,0.06206666666666667,0,-0.06206666666666667,0.036675099746765916,0.0024163659997593757,TRUE,NA,NA
isoComp_00003557,geneComp_00001578,ENSMUST00000173931,Adamts10,KO4,WT,Adamts10,protein_coding,nonsense_mediated_decay,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,2.4334105145420253,1.2163366582075636,3.650484370876487,0.3928259917589997,0.2777787599533014,1.5776794776256562,NA,0.28335,0.24783333333333332,0.3188666666666667,0.07103333333333336,0.4124446406120662,0.0024163659997593757,TRUE,NA,NA
isoComp_00003558,geneComp_00001578,ENSMUST00000173972,Adamts10,KO4,WT,Adamts10,protein_coding,retained_intron,8.115559672177854,4.784901570283068,11.44621777407264,0.24772772712208752,0.22749741276397162,1.2565577174987725,NA,0.6097884083070048,0.16608461899918964,1.0534921976148197,0.0323049376006704,0.1065903438987888,2.5944686486069557,NA,0.06378333333333333,0.035166666666666666,0.0924,0.05723333333333333,0.0024163659997593757,0.0024163659997593757,NA,NA,NA
